question,filename,answer,source_image
1,cardiothoracic_Papillary_muscle_of_left_ventricle.jpeg,"Papillary muscle of left ventricle - 2 points",mricardiothoracic15.jpeg
2,cardiothoracic_Inferior_vena_cava.jpeg,"Inferior vena cava - 2 points",mricardiothoracic16.jpeg
3,cardiothoracic_Abdominal_aorta.jpeg,"Abdominal aorta - 2 points",mricardiothoracic17.jpeg
4,cardiothoracic_Posterior_Leaflet_Of_Mitral_Valve.jpeg,"Posterior Leaflet Of Mitral Valve - 2 points",mricardiothoracic18.jpeg
5,cardiothoracic_Interventricular_septum_–_muscular_portion.jpeg,"Interventricular septum – muscular portion - 2 points",mricardiothoracic20.jpeg
6,cardiothoracic_Myocardium_of_left_ventricle.jpg,"Myocardium of left ventricle - 2 points",mricardiothoracic25.jpg
7,cardiothoracic_Right_main_pulmonary_artery.jpeg,"Right main pulmonary artery - 2 points",mricardiothoracic31.jpeg
8,cardiothoracic_Right_pectoralis_minor.jpeg,"Right pectoralis minor - 2 points",mricardiothoracic33.jpeg
9,cardiothoracic_Main_pulmonary_artery.jpeg,"Main pulmonary artery - 2 points",mricardiothoracic34.jpeg
10,cardiothoracic_Right_atrial_appendage.jpeg,"Right atrial appendage - 2 points",mricardiothoracic38.jpeg
11,cardiothoracic_Right_atrial_appendage_2.jpeg,"Right atrial appendage - 2 points",mricardiothoracic41.jpeg
12,cardiothoracic_Main_pulmonary_artery_2.jpeg,"Main pulmonary artery - 2 points",mricardiothoracic43.jpeg
13,cardiothoracic_Papillary_muscle_of_left_ventricle_2.jpeg,"Papillary muscle of left ventricle - 2 points",mricardiothoracic44.jpeg
14,cardiothoracic_Left_hemidiaphragm.jpeg,"Left hemidiaphragm - 2 points",uscardiothoracic5.jpeg
15,cardiothoracic_Body_of_sternum.jpeg,"Body of sternum - 2 points",xraycardiothoracic3.jpeg
16,cardiothoracic_Right_hemidiaphragm.jpeg,"Right hemidiaphragm - 2 points",xraycardiothoracic4.jpeg
17,cardiothoracic_Right_main_pulmonary_artery_2.jpeg,"Right main pulmonary artery - 2 points",xraycardiothoracic8.jpeg
18,cardiothoracic_Inferior_vena_cava_2.jpeg,"Inferior vena cava - 2 points",xraycardiothoracic9.jpeg
19,cardiothoracic_Left_hemidiaphragm_2.jpeg,"Left hemidiaphragm - 2 points",xraycardiothoracic10.jpeg
20,cardiothoracic_Left_main_bronchus.jpeg,"Left main bronchus - 2 points",xraycardiothoracic12.jpeg
21,cardiothoracic_Lateral_border_of_right_lobe_of_thymus.jpeg,"Lateral border of right lobe of thymus - 2 points",xraycardiothoracic14.jpeg
22,cardiothoracic_Left_cardiophrenic_recess.jpeg,"Left cardiophrenic recess - 2 points",xraycardiothoracic15.jpeg
23,cardiothoracic_Anterior_junctional_line.jpeg,"Anterior junctional line - 2 points",xraycardiothoracic25.jpeg
24,cardiothoracic_Right_paratracheal_stripe.jpeg,"Right paratracheal stripe - 2 points",xraycardiothoracic27.jpeg
25,cardiothoracic_Aortic_knuckle.jpeg,"Aortic knuckle - 2 points",xraycardiothoracic28.jpeg
26,cardiothoracic_Right_main_pulmonary_artery_3.jpeg,"Right main pulmonary artery - 2 points",xraycardiothoracic29.jpeg
27,cardiothoracic_Arch_of_aorta.jpeg,"Arch of aorta - 2 points",xraycardiothoracic30.jpeg
28,cardiothoracic_Left_common_carotid_artery.jpeg,"Left common carotid artery - 2 points",xraycardiothoracic32.jpeg
29,cardiothoracic_Brachiocephalic_artery.jpeg,"Brachiocephalic artery - 2 points",xraycardiothoracic33.jpeg
30,cardiothoracic_Right_brachiocephalic_vein.jpeg,"Right brachiocephalic vein - 2 points",xraycardiothoracic35.jpeg
31,cardiothoracic_Ascending_thoracic_aorta.jpeg,"Ascending thoracic aorta - 2 points",xraycardiothoracic36.jpeg
32,cardiothoracic_Right_main_pulmonary_artery_4.jpeg,"Right main pulmonary artery - 2 points",xraycardiothoracic38.jpeg
33,cardiothoracic_Left_pulmonary_artery.jpeg,"Left pulmonary artery - 2 points",xraycardiothoracic41.jpeg
34,cardiothoracic_Anterior_junctional_line_2.jpeg,"Anterior junctional line - 2 points",xraycardiothoracic43.jpeg
35,cardiothoracic_Anterior_junctional_line_3.jpeg,"Anterior junctional line - 2 points",ctcardiothoracic1.jpeg
36,cardiothoracic_Anterior_segmental_bronchus_of_right_upper_lobe.jpeg,"Anterior segmental bronchus of right upper lobe - 2 points",ctcardiothoracic3.jpeg
37,cardiothoracic_Left_greater_fissure.jpeg,"Left greater fissure - 2 points",ctcardiothoracic6.jpeg
38,cardiothoracic_Thoracic_oesophagus.jpeg,"Thoracic oesophagus - 2 points",ctcardiothoracic9.jpeg
39,cardiothoracic_Manubriosternal_joint.jpeg,"Manubriosternal joint - 2 points",ctcardiothoracic15.jpeg
40,cardiothoracic_Appendage_of_right_atrium.jpeg,"Appendage of right atrium - 2 points",ctcardiothoracic18.jpeg
41,cardiothoracic_Right_coronary_sinus.jpeg,"Right coronary sinus - 2 points",ctcardiothoracic19.jpeg
42,cardiothoracic_Left_inferior_lobar_bronchus.jpeg,"Left inferior lobar bronchus - 2 points",ctcardiothoracic20.jpeg
43,cardiothoracic_Right_lower_lobe_bronchus.jpeg,"Right lower lobe bronchus - 2 points",ctcardiothoracic21.jpeg
