question,filename,answer,source_image
1,cardiothoracic_Right_ventricle.jpeg,"Right ventricle - 2 points",mricardiothoracic4.jpeg
2,cardiothoracic_Anterior_leaflet_of_mitral_valve.jpeg,"Anterior leaflet of mitral valve - 2 points",mricardiothoracic8.jpeg
3,cardiothoracic_Main_pulmonary_artery.jpeg,"Main pulmonary artery - 2 points",mricardiothoracic12.jpeg
4,cardiothoracic_Anterior_Leaflet_Of_Mitral_Valve.jpeg,"Anterior Leaflet Of Mitral Valve - 2 points",mricardiothoracic19.jpeg
5,cardiothoracic_Right_ventricle_2.jpeg,"Right ventricle - 2 points",mricardiothoracic24.jpeg
6,cardiothoracic_Left_atrium.jpeg,"Left atrium - 2 points",mricardiothoracic26.jpeg
7,cardiothoracic_Cerebrospinal_fluid_in_the_thoracic_spinal_canal.jpeg,"Cerebrospinal fluid in the thoracic spinal canal - 2 points",mricardiothoracic27.jpeg
8,cardiothoracic_Main_pulmonary_artery_2.jpeg,"Main pulmonary artery - 2 points",mricardiothoracic29.jpeg
9,cardiothoracic_Descending_interlobar_pulmonary_artery.jpeg,"Descending interlobar pulmonary artery - 2 points",mricardiothoracic35.jpeg
10,cardiothoracic_Superior_vena_cava.jpeg,"Superior vena cava - 2 points",mricardiothoracic39.jpeg
11,cardiothoracic_Left_atrium_2.jpeg,"Left atrium - 2 points",mricardiothoracic40.jpeg
12,cardiothoracic_Left_atrial_appendage.jpeg,"Left atrial appendage - 2 points",mricardiothoracic42.jpeg
13,cardiothoracic_Trachea.jpeg,"Trachea - 2 points",uscardiothoracic3.jpeg
14,cardiothoracic_Left_hemidiaphragm.jpeg,"Left hemidiaphragm - 2 points",xraycardiothoracic13.jpeg
15,cardiothoracic_Right_main_bronchus.jpeg,"Right main bronchus - 2 points",xraycardiothoracic21.jpeg
16,cardiothoracic_Right_costodiaphragmatic_recess.jpeg,"Right costodiaphragmatic recess - 2 points",xraycardiothoracic22.jpeg
17,cardiothoracic_Companion_Shadow_Over_Left_Clavicle.jpeg,"Companion Shadow Over Left Clavicle - 2 points",xraycardiothoracic24.jpeg
18,cardiothoracic_Lateral_border_of_right_atrium.jpeg,"Lateral border of right atrium - 2 points",xraycardiothoracic26.jpeg
19,cardiothoracic_Inferior_vena_cava.jpeg,"Inferior vena cava - 2 points",xraycardiothoracic37.jpeg
20,cardiothoracic_Right_Upper_Lobe_Pulmonary_Vein.jpeg,"Right Upper Lobe Pulmonary Vein - 2 points",xraycardiothoracic39.jpeg
21,cardiothoracic_Right_main_bronchus_2.jpeg,"Right main bronchus - 2 points",ctcardiothoracic2.jpeg
22,cardiothoracic_Descending_thoracic_aorta.jpeg,"Descending thoracic aorta - 2 points",ctcardiothoracic4.jpeg
23,cardiothoracic_Left_atrium_3.jpeg,"Left atrium - 2 points",ctcardiothoracic7.jpeg
24,cardiothoracic_Right_main_pulmonary_artery.jpeg,"Right main pulmonary artery - 2 points",ctcardiothoracic10.jpeg
25,cardiothoracic_Left_brachiocephalic_vein.jpeg,"Left brachiocephalic vein - 2 points",ctcardiothoracic14.jpeg
26,cardiothoracic_Right_superior_lobar_pulmonary_artery.jpeg,"Right superior lobar pulmonary artery - 2 points",ctcardiothoracic27.jpeg
